[[0.798544704914093], [0.848823606967926], [0.8352242112159729], [0.8084431886672974], [0.8843159079551697]]
[[0.819110095500946], [0.8196834921836853], [0.8491141200065613], [0.8976995944976807], [0.7971171736717224]]
[[0.8706488609313965], [0.8503540754318237], [0.8339340686798096], [0.8362143039703369], [0.8791847825050354]]
[[0.7888127565383911], [0.8234769105911255], [0.7833266854286194], [0.7331807017326355], [0.7501869201660156]]
[[0.836055338382721], [0.8662112355232239], [0.8217832446098328], [0.8243221640586853], [0.7859960794448853]]
[[0.899711012840271], [0.796223521232605], [0.8650854229927063], [0.8732472062110901], [0.8070559501647949]]
[[0.8624821305274963], [0.8129251003265381], [0.8048650026321411], [0.855793833732605], [0.8041081428527832]]
[[0.8657943606376648], [0.8716081976890564], [0.7756863236427307], [0.852314829826355], [0.8266577124595642]]
[[0.8416368365287781], [0.7999660968780518], [0.8105021119117737], [0.7897323369979858], [0.7884804010391235]]
[[0.8102899193763733], [0.7932770252227783], [0.8432578444480896], [0.8207340240478516], [0.7987105250358582]]
[[0.8251985907554626], [0.8797814249992371], [0.8402830362319946], [0.7807052135467529], [0.7866860628128052]]
[[0.8477786779403687], [0.8110640645027161], [0.9189183115959167], [0.7846012115478516], [0.8585882782936096]]
[[0.8498280048370361], [0.810653805732727], [0.78505539894104], [0.7874360084533691], [0.8777567148208618]]
[[0.7917141318321228], [0.7959632277488708], [0.8256238698959351], [0.7915895581245422], [0.8776863217353821]]
[[0.8307848572731018], [0.8464149236679077], [0.7708957195281982], [0.828058123588562], [0.7962790727615356]]
[[0.7961812019348145], [0.7675265669822693], [0.8192309737205505], [0.8371649980545044], [0.8250941634178162]]
[[0.7557022571563721], [0.8069483637809753], [0.8865319490432739], [0.8072328567504883], [0.7397587299346924]]
[[0.8331263661384583], [0.8029593825340271], [0.8181679844856262], [0.8068183064460754], [0.7815018892288208]]
[[0.798479437828064], [0.8738938570022583], [0.7881051301956177], [0.8680651783943176], [0.8372140526771545]]
[[0.8580167293548584], [0.8047020435333252], [0.8136730194091797], [0.8033731579780579], [0.7981053590774536]]
[[0.8159374594688416], [0.8127899169921875], [0.8453248143196106], [0.8078663349151611], [0.8549389243125916]]
[[0.884009063243866], [0.7874240279197693], [0.8089748024940491], [0.8120235800743103], [0.7975642681121826]]
